route_num,video_name,window_idx,window_start_sec,window_end_sec,car_count,cyclist_motorcycle_count,dynamic_object_area_ratio,large_vehicle_ratio,person_count,total_object_count,traffic_sign_count,truck_bus_count,car_speed_mean,car_accel_mean,car_jerk_mean,person_speed_mean,cyclist_speed_mean,pedestrian_crossing_count,min_ttc,risk_count
2,CUT 4,30,30.0,32.8,1.0,0.0,0.0002602268921004,0.0,0.0,1.0,1.0,0.0,8.79918895324682,174.43335030721906,3821.988403396503,,,0,3.6501014112135866,0
2,CUT 4,31,31.0,32.8,2.0,0.0,0.000580186843872,0.0,0.0,2.0,1.0,0.0,10.312301977901864,193.8611696837976,4341.740080173031,,,0,3.2038902697371485,0
2,CUT 4,32,32.0,32.8,2.0,0.0,0.0006819562779532,0.0,0.0,2.0,1.0,0.0,9.643400234302996,220.71537457847188,4809.2943973962665,,,0,2.6498103797452828,1
2,CUT 5,0,0.0,3.0,3.0,0.0,0.0038877643479241263,0.0,1.0,3.0,6.0,0.0,78.87574704081479,2304.191491069245,55116.19997234441,67.09048687366584,,0,0.3860879534651153,4
2,CUT 5,1,1.0,4.0,5.0,0.0,0.008281573719448513,0.0,1.0,6.0,5.5,0.0,90.71842032331234,2356.389459974797,59408.70855296478,71.3922298047568,,0,1.2981278468393715,3
2,CUT 5,2,2.0,5.0,5.0,0.0,0.010182659890916611,0.0,2.0,7.0,3.5,0.0,90.9889523484116,2271.7031603468677,56207.98889322595,107.62464694859331,,0,1.3539230945560947,2
2,CUT 5,3,3.0,6.0,5.0,0.0,0.012455728318956163,0.0,2.0,6.0,3.0,0.0,70.11909342366106,1666.5686762717141,38522.183210418465,116.95028397842225,,0,1.3539230945560947,1
2,CUT 5,4,4.0,7.0,5.0,0.0,0.012276327345106336,0.0,1.0,6.0,3.0,0.0,66.60444550270644,1066.5466845977253,27616.07717089128,127.87009612799322,,0,6.009442151886145,0
2,CUT 5,5,5.0,8.0,5.0,0.0,0.017447054651048448,0.0,0.0,5.0,2.0,0.0,25.134076717641136,832.6587679142422,16932.601515393235,122.52454829713804,,0,1.1710845686745168,1
2,CUT 5,6,6.0,9.0,5.0,0.0,0.017347024811638724,0.0,0.0,5.0,2.0,0.0,15.382271162995417,465.62812511072246,9334.337913836833,193.41126583387864,,0,1.1710845686745168,1
2,CUT 5,7,7.0,10.0,5.0,0.0,0.017390466266208222,0.0,0.0,5.0,3.0,0.0,24.971811833994956,518.8131197448133,10522.714665902693,,,0,0.9868587871386214,3
2,CUT 5,8,8.0,11.0,5.0,0.0,0.0173831393983629,0.0,0.0,5.0,3.0,0.0,24.364699471880385,479.7087524033473,10664.095693424917,,,0,8.348601803445494,0
2,CUT 5,9,9.0,12.0,5.0,0.0,0.017273015446133085,0.0,0.0,5.0,2.0,0.0,24.371701928613263,469.9064297632455,10746.454091345326,,,0,8.348601803445494,0
2,CUT 5,10,10.0,13.0,5.0,0.0,0.013855142593383789,0.0,0.0,5.0,2.0,0.0,30.22641557789725,527.0310004283681,14326.178489578755,,,0,1.333975008634857,1
